FID_GarageBuffers,OID_,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,108,0406,LEON,No,HOUSING TAMU,0406,LEON,Leonard Hall - Dorm 7,1938,04,695 Military Mall,College Station,77843,Leonard Hall - Dorm 7 | LEON | 0406,3.769174796214487,0.538614286304229
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,135,0394,UNDE,No,HOUSING TAMU,0394,UNDE,Underwood Residence Hall,1981,04,644 Mosher Ln,College Station,77843,Underwood Residence Hall | UNDE | 0394,148.609786127870791,746.836977488649381
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.326796029663306,36.038078966827584
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,43.152372507712570,106.546471645377139
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,316,0378,SSPG,No,GARAGE,0378,SSPG,South Side Parking Garage,1990,04,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,553.269233016415569,14543.691412792895790
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.657592586517040,37.546402861319265
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,391,0448,ADAM,No,ACADEMIC,0448,ADAM,Adams Band Hall,1970,03,611 Lewis St,College Station,77843,Adams Band Hall | ADAM | 0448,160.334775492422921,1424.776994716204172
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,803,0291,RUDD,No,HOUSING TAMU,0291,RUDD,Rudder Residence Hall,1989,04,770 Mosher Ln,College Station,77843,Rudder Residence Hall | RUDD | 0291,224.495554419911457,1513.751613030865883
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,809,0290,WELL,No,HOUSING TAMU,0290,WELL,Wells Residence Hall,1989,04,700 Mosher Ln,College Station,77843,Wells Residence Hall | WELL | 0290,225.198744381093604,1525.245640559282037
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,829,0292,EPPR,No,HOUSING TAMU,0292,EPPR,Eppright Residence Hall,1989,04,695 Spence St,College Station,77843,Eppright Residence Hall | EPPR | 0292,224.739731568358167,1519.106543999993846
1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,200.000000000000000,832,0293,APPE,No,HOUSING TAMU,0293,APPE,Appelt Residence Hall,1989,04,660 Mosher Ln,College Station,77843,Appelt Residence Hall | APPE | 0293,192.418827150922993,1374.578830049781573
